PARAM,AVG_TIME,RUN,FAILED
10,687.1496737003326,1,0
10,605.1237177848816,2,0
10,617.2852468490601,3,0
50,10103.49184513092,1,0
50,4299.616879224777,2,0
50,4079.0263986587524,3,0
100,11289.811793794022,1,1
100,5877.827726266323,2,1
100,4492.494728565216,3,0
