PARAM,AVG_TIME,RUN,FAILED
10,196.23342871665955,1,0
10,157.52553462982178,2,0
10,184.77212190628052,3,0
100,489.3934226036072,1,0
100,358.2794117927551,2,0
100,357.261278629303,3,0
1000,872.4225997924805,1,0
1000,440.28903007507324,2,0
1000,427.5676417350769,3,0
